price,postcode,size,kamers,year,latitude,longitude,distance1,distance2,age,nearby rating
235000,1066ET,27,1,1921,52.34188112,4.796750811999999,8.180157484445411,5.226579269799371,101,5.0
400000,1068CM,96,3,1968,52.36230985,4.807096570833335,6.617244435596477,5.242752136514224,54,4.613333333333332
475000,1058XV,61,3,1928,52.36316646382976,4.85597365106383,3.5011296446759097,3.0159176473657485,94,3.544791666666667
275000,1051TV,29,1,1901,52.38498756250001,4.872814062500001,1.982919541878447,5.206315580892245,121,4.213333333333334
315000,1033MC,53,2,1983,52.40853175624999,4.89173143125,3.326551602340828,7.92723894791574,39,3.8874999999999997
425000,1072CA,55,3,1906,52.35590242857144,4.887494847619049,2.724671410412186,2.197525701594618,116,3.8156862745098046
275000,1053DD,31,2,1906,52.367710296000006,4.87428434,2.1784245897872223,3.284561207728543,116,4.3125
435000,1056HP,58,3,1930,52.3743007013158,4.859958017105261,2.798715312347305,4.117139448086671,92,4.111111111111111
350000,1034SM,90,5,1977,52.41063260000001,4.915123068750001,3.6509902254227695,8.550649563659597,45,4.2
450000,1017RJ,55,3,1861,52.36342144857144,4.884606214285714,2.0460219643403623,2.912123511951175,161,3.7186274509803923
475000,1087GT,81,3,2007,52.35579274715445,4.9989874853658485,7.204990280687999,8.792575020948885,15,3.922222222222222
385000,1055CT,48,3,1940,52.37884523333333,4.853571591666667,3.1821701001274856,4.716313857441079,82,4.145555555555556
325000,1012EZ,46,2,1705,52.36971594347825,4.894755860869565,1.110373426871789,3.802039598842345,317,4.08
500000,1012EZ,65,3,1705,52.36971594347825,4.894755860869565,1.110373426871789,3.802039598842345,317,4.322222222222222
745000,1078AR,100,3,1928,52.34776516666667,4.894333276190475,3.510370609672157,1.790875199331366,94,4.322222222222222
585000,1055MB,88,4,1922,52.38192246249999,4.852157765000001,3.293216880648373,5.071977584008941,100,4.211111111111112
340000,1073LH,45,3,1923,52.350506213043474,4.901619930434782,3.183023006434215,2.372001323344754,99,3.9142857142857137
400000,1053CL,52,3,1903,52.366254266666665,4.866731395555555,2.6963017982395048,3.1526731732177247,119,4.022222222222222
300000,1062AL,45,2,1967,52.36252152166667,4.836165613333332,4.741703518945916,3.700354078594177,55,4.055555555555556
475000,1034WE,93,4,1995,52.4040091,4.917484162500001,3.0085165816802912,7.919687836317287,27,4.06875
400000,1055DE,54,4,1940,52.37956456250001,4.854223829166667,3.138029017036464,4.780916176725522,82,3.730392156862745
380000,1057AL,51,3,1939,52.368745264,4.849067976,3.6744497404219993,3.775720116769268,83,4.113333333333333
625000,1056CK,92,6,1927,52.3726603375,4.847602295833332,3.659622385652042,4.212529276914368,95,4.3375
425000,1063NM,79,4,1954,52.382735096,4.81531992,5.800716756721026,6.332924051653891,68,4.2250000000000005
625000,1019AG,92,3,2021,52.36962299059832,4.9538886863247855,3.798887451388137,6.51544396314612,1,3.6676470588235293
365000,1015ND,36,2,1959,52.37798488448276,4.88472836724138,1.0676202655597924,4.496160459371961,63,4.183333333333333
565000,1072RX,67,4,1923,52.34854386571431,4.890704402857143,3.462371248331013,1.6576882629532812,99,4.4037037037037035
